Page number (if paper obtained through Google Scholar search),Who analyzed (if paper useful)? (If there's a 6-digit number: Date of entering paper into database),Link,Paper Name,"Author Last Name, Year of Publication","Usefulness (See ""Usefulness"" filter legend for the values to fill in this column)",Species (& strain info),"Ploidy (Haploid, Diploid, Polyploid)",No. pops,No. gens,No. muts,"Envir (Medium, Nutrients, Temp)",Supp Info Provided?,Additional cmts,"Screen (See ""Screen legend"")","Paper ID (obtained through sorting ""Author, Year ""A-Z once all the papers have been logged into this sheet)"
2,,https://www.biorxiv.org/content/biorxiv/early/2019/03/08/571505.full.pdf,Chromosomal barcoding of Escherichia coli populations reveals lineage 2 diversity dynamics at high resolution,"Lerner, 2019",5,E. coli K-12 MG1655 ,haploid,70 (14 pops x 5 conditions),~ 420,,"Low’ chloramphenicol (CMP) (1-3 Pg/mL), ‘ultra-low’ CMP (0.1 Pg/mL), ‘low’ trimethoprim (TMP) (0.1-1.2 Pg/mL), ‘ultra-low’ TMP (0.01-0.1 Pg/ml), and ‘no drug’. 37 °C, supplemented M9 medium (0.2% glu, 1mM MgSO4, 0.1% casamino acids, 0.5 mg/ml thiamin). ",,,B6,265
1,,https://www-nature-com.uml.idm.oclc.org/articles/s41467-019-10371-1,Vibrio sp. dhg as a platform for the biorefinery of brown macroalgae,"Lim, 2019",5,Vibrio sp. dhg,,,,,,,,B6,275
3,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6390766/,SNP-IT Tool for Identifying Subspecies and Associated Lineages of Mycobacterium tuberculosis Complex,"Lipworth, 2019",5,Mycobacterium spp.,,,,,,,,B6,278
5,,https://www.nature.com/articles/s41467-018-07235-5,Microevolution of Neisseria lactamica during nasopharyngeal colonisation induced by controlled human infection,"Pandey, 2018",5,Neisseria lactamica,,,,,,,,B6,336
4,,https://aac-asm-org.uml.idm.oclc.org/content/63/4/e02313-18,Emergence of Neisseria gonorrhoeae Strains Harboring a Novel Combination of Azithromycin-Attenuating Mutations,"Pham, 2019",5,N. gonorrhoeae,,,,,,,,B6,346
5,,https://www-sciencedirect-com.uml.idm.oclc.org/science/article/pii/S1097276518308475,Inhibiting the evolution of antibiotic resistance,"Ragheb, 2019",5,Various,,,,,,,,B6,361
2,,https://www.biorxiv.org/content/10.1101/568709v1.full,Low Mutational Load Allows for High Mutation Rate Variation in Gut Commensal Bacteria,"Ramiro, 2019",5,E. coli,,,,,,,,B6,366
4,,https://jb-asm-org.uml.idm.oclc.org/content/201/7/e00686-18,RNase HIII is important for Okazaki fragment processing in Bacillus subtilis,"Randall, 2019",5,Bacillus subtilis,,,,,,,,B6,368
3,,https://www.biorxiv.org/content/biorxiv/early/2019/02/17/552034.full.pdf,SEDS–bPBP pairs direct lateral and septal peptidoglycan synthesis in Staphylococcus aureus,"Reichmann, 2019",5,Staphylococcus aureus,,,,,,,,B6,373
2,,https://www.biorxiv.org/content/10.1101/581611v2.full,Evolutionary pathways to antibiotic resistance are dependent upon environmental structure and bacterial lifestyle,"Santos-Lopez, 2019",5,Acinetobacter baumannii,haploid,22,~ 80 (12 days x 6.64 gen/day),,"_ Modified M9 (M9+):  0.1 mM CaCl2, 1 mM MgSO4, 42.2 mM Na2HPO4, 22 mM KH2PO4, 21.7 mM NaCl, 18.7 mM NH4Cl, & 11.1 mM glu, supplemented w 20 mL/L MEM essential aa's (Gibco 11130051), 10 mL/L MEM nonessential aa's (Gibco 11140050), & 1 mL each of trace mineral solutions A, B, and C (Corning 25021-3Cl). 
_ Of the 22 pops: 6 control (no antibiotics), 6 (12 days of 0.5 x MIC), & 10 (0.5, 1, 2, 4 x MIC - 3 days each).",,,B6,400
5,,https://www-nature-com.uml.idm.oclc.org/articles/s41564-018-0309-1,Genome-wide discovery of epistatic loci affecting antibiotic resistance in Neisseria gonorrhoeae using evolutionary couplings,"Schubert, 2019",5,Neisseria gonorrhoeae,,,,,,,,B6,411
1,,https://mro.massey.ac.nz/bitstream/handle/10179/14639/02_whole.pdf?sequence=2&isAllowed=y,Exploring the origins of multicellularity using experimental populations of Pseudomonas fluorescens SBW25: Deciphering the genetic basis of an environmentally-responsive developmental switch,"Summers, 2018",5,Pseudomonas fluorescens SBW25,,,,,,,,B6,440
3,,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000123,Structural basis of DSF recognition by its receptor RpfR and its regulatory interaction with the DSF synthase RpfF,"Waldron, 2019",5,B. cenocepacia ,,,,,,,,B6,476
5,,https://www.frontiersin.org/articles/10.3389/fmicb.2018.03192/full?&utm_source=Email_to_authors_&utm_medium=Email&utm_content=T1_11.5e1_author&utm_campaign=Email_publication&field=&journalName=Frontiers_in_Microbiology&id=428782,Predictable molecular adaptation of coevolving Enterococcus faecium and lytic phage EfV12-phi1,"Wandro, 2019",5, Enterococcus faecium,,,,,,,,B6,478
4,,https://link.springer.com/article/10.1007/s00253-018-09588-9,Evolutionary engineering of Escherichia coli for improved anaerobic growth in minimal medium accelerated lactate production,"Wang, 2019",5,E. coli K-12 (W3110),,3,1300,,"M9 (2.5% glu (w/v), 37 °C, 200 rpm. After 132 gens: glu conc. increases to 5% (w/v)). Stressor: glucose.",,,B6,481
4,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365430/,Comparative Genome Analysis of Lactococcus lactis Indicates Niche Adaptation and Resolves Genotype/Phenotype Disparity,"Wels, 2019",5,Lactococcus lactis ,,,,,,,,B6,490
4,,https://academic.oup.com/gbe/article/8/9/2979/2236225,The Molecular Chaperone DnaK Is a Source of Mutational Robustness,"Aguilar-Rodríguez, 2016",5,E. coli,,,,,,,,B2,2
25,,https://www.mdpi.com/2073-4425/10/1/63,Genomic and Transcriptomic Changes That Mediate Increased Platinum Resistance in Cupriavidus metallidurans,"Ali, 2019",5,Cupriavidus metallidurans,,,,,,,,B2,4
3,,https://jb.asm.org/content/197/20/3354.short,Whole-Genome Comparison Uncovers Genomic Mutations between Group B Streptococci Sampled from Infected Newborns and Their Mothers,"Almeida, 2015",5,Streptococcus agalactiae,,,,,,,,B2,8
5,,https://www.sciencedirect.com/science/article/pii/S0960852417302572,Performance of different Sporomusa species for the microbial electrosynthesis of acetate from carbon dioxide,"Aryal, 2017",5,Sporomusa species,,,,,,,,B2,18
7,,https://www.frontiersin.org/articles/10.3389/fmicb.2016.00913/full,"Isolation and Genomic Characterization of ‘Desulfuromonas soudanensis WTL’, a Metal- and Electrode-Respiring Bacterium from Anoxic Deep Subsurface Brine","Badalamenti, 2016",5,Desulfuromonas soudanensis,,,,,,,,B2,24
4,,https://mbio.asm.org/content/6/2/e02565-14.short,Virus-Induced Dormancy in the Archaeon Sulfolobus islandicus,"Bautista, 2015",5,Sulfolobus islandicus,,,,,,,,B2,37
19,,https://scholarship.rice.edu/handle/1911/95621,Evolutionary Dynamics Leading to Tigecycline Resistance in Enterococcus faecalis,"Beabout-McCarthy, 2016",5,Enterococcus faecalis,,,,,,,,B2,39
5,,https://academic.oup.com/mbe/article/32/10/2585/1208182,Rampant Parasexuality Evolves in a Hospital Pathogen during Antibiotic Selection,"Beabout, 2015",5,Enterococcus faecalis,,,,,,,,B2,40
21,,https://pubs.acs.org/doi/abs/10.1021/acsinfecdis.7b00135,Experimental Evolution of Diverse Strains as a Method for the Determination of Biochemical Mechanisms of Action for Novel Pyrrolizidinone Antibiotics,"Beabout, 2017",5,"Bacillus, Staphyloccocus, Enterococcus",,,,,,,,B2,41
13,,https://onlinelibrary.wiley.com/doi/full/10.1111/mmi.13563,PrgU: a suppressor of sex pheromone toxicity in Enterococcus faecalis,"Bhatty, 2016",5,Enterococcus faecalis,,,,,,,,B2,47
18,,https://www.biorxiv.org/content/10.1101/304840v1.abstract,Illuminating the microbiome's dark matter: a functional genomic toolkit for the study of human gut Actinobacteria,"Bisanz, 2018",5,Actinobacteria,,,,,,,,B2,48
20,,https://search.proquest.com/openview/79144d90daaa7d23cca723b29ee2622d/1?pq-origsite=gscholar&cbl=18750&diss=y,Composition of gut microbiota affects C. jejuni-mediated inflammation and autoimmunity in murine models,"Brooks, 2016",5,C. jejuni,,,,,,,,B2,57
23,,https://www.sciencedirect.com/science/article/pii/S2213716518301656,Use of whole-genome sequencing to predict Mycobacterium tuberculosis drug resistance in Indonesia,"Chaidir, 2019",5,Mycobacterium tuberculosis,,,,,,,,B2,68
23,,https://scholarworks.iu.edu/dspace/handle/2022/20325,Evolution of developmental gene regulation in the Myxobacteria,"Chen, 2015",5,Myxobacteria,,,,,,,,B2,74
3,,https://peerj.com/articles/2435/,MxaY regulates the lanthanide-mediated methanol dehydrogenase switch in Methylomicrobium buryatense,"Chu, 2016",5,Methylomicrobium buryatense,,,,,,,,B2,79
16,,https://onlinelibrary.wiley.com/doi/abs/10.1111/jeb.13132,The role of recombination in evolutionary adaptation of Escherichia coli to a novel nutrient,"Chu, 2017",5,E. coli,haploid,6,130,,,,,B2,80
11,,https://academic.oup.com/gbe/article/8/4/1243/2574097,Comparative Genomics of Carriage and Disease Isolates of Streptococcus pneumoniae Serotype 22F Reveals Lineage-Specific Divergence and Niche Adaptation,"Cleary, 2016",5,Streptococcus pneumoniae,,,,,,,,B2,81
4,,https://www.sciencedirect.com/science/article/pii/S0888754314001840,Parallel evolution of small colony variants in Burkholderia cenocepacia biofilms,"Cooper, 2014",5,Burkholderia cenocepacia,,,,,,,,B2,89
23,,https://academic.oup.com/nar/article/46/17/9236/5077598,Directed evolution of Escherichia coli with lower-than-natural plasmid mutation rates,"Deatherage, 2018",5,E. coli,,,,,,,,B2,105
1,,https://www.sciencedirect.com/science/article/pii/S0006349515006712,Cell-Size Homeostasis and the Incremental Rule in a Bacterial Pathogen,"Deforet, 2015",5,P. aeruginosa,,,,,,,,B2,106
9,,https://www.pnas.org/content/114/4/E580.short,"Redox crisis underlies conditional light–dark lethality in cyanobacterial mutants that lack the circadian regulator, RpaA","Diamond, 2017",5,Cyanobacteria,,,,,,,,B2,113
8,,https://onlinelibrary.wiley.com/doi/abs/10.1111/evo.12868,Diverse phenotypic and genetic responses to short‐term selection in evolving Escherichia coli populations,"Dillon, 2016",5,E. coli,haploid,,,,,,,B2,114
11,,https://academic.oup.com/jac/article/73/1/41/4582307,Long-lasting successful dissemination of resistance to oxazolidinones in MDR Staphylococcus epidermidis clinical isolates in a tertiary care hospital in France,"Dortet, 2017",5,Staphylococcus epidermidis,,,,,,,,B2,117
11,,https://academic.oup.com/gbe/article/8/9/2827/2236259,"Evolved Populations of Shigella flexneri Phage Sf6 Acquire Large Deletions, Altered Genomic Architecture, and Faster Life Cycles","Dover, 2016",5,Shigella flexneri,,,,,,,,B2,118
12,,https://www.tandfonline.com/doi/abs/10.1080/23802359.2017.1325343,"The complete mitochondrial genome of the Egyptian honey bee, Apis mellifera lamarckii (Insecta: Hymenoptera: Apidae)","Eimanifar, 2017",5,Apis mellifera lamarckii,,,,,,,,B2,126
15,,https://www.nature.com/articles/s41467-018-07164-3,Adaptation to sub-optimal hosts is a driver of viral diversification in the ocean,"Enav, 2018",5,Synechococcus,,,,,,,,B2,130
18,,https://www.biorxiv.org/content/biorxiv/early/2016/12/27/096909.full.pdf,Environment determines evolutionary trajectory in a constrained phenotypic space,"Fraebel, 2016",5,E. coli,,,,,,,< 3 reps,B2,142
7,,https://cdn.elifesciences.org/articles/24669/elife-24669-v1.pdf,Environment determines evolutionary trajectory in a constrained phenotypic space,"Fraebel, 2017",5,E. coli,haploid,,,,,,< 3 reps,B2,143
25,,http://roderic.uv.es/handle/10550/56208,Unraveling the complex trait of low temperature adaptation in the wine yeast S. cerevisiae,"Garcia-Rios, 2016",5,S. cerevisiae,,,,,,,,B2,147
8,,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-017-3572-2,The genetic architecture of low-temperature adaptation in the wine yeast Saccharomyces cerevisiae,"García-Ríos, 2017",5,S. cerevisiae,,,,,,,,B2,148
22,,https://repositories.lib.utexas.edu/handle/2152/63462,The impact of engineered design constraints upon bacteriophage T7 evolution,"Garry, 2017",5,Bacteriophage T7,,,,,,,,B2,150
20,,https://academic.oup.com/ve/article/4/1/vey017/5040330,Viral attenuation by engineered protein fragmentation,"Garry, 2018",5,Bacteriophage T7,,,,,,,,B2,151
23,,https://academic.oup.com/gbe/article/10/10/2614/5089235,Predicting Evolution of the Transcription Regulatory Network in a Bacteriophage,"Garry, 2018",5,Bacteriophage T7,,,,,,,,B2,152
14,,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1007030,A global regulatory system links virulence and antibiotic resistance to envelope homeostasis in Acinetobacter baumannii,"Geisinger, 2018",5,Acinetobacter baumannii,,,,,,,,B2,154
13,,https://www.sciencedirect.com/science/article/pii/S0360319917326915,Comparative genomic analysis of two heat-resistant Rhodobacter capsulatus mutants with different hydrogen production levels reveals mutations related to hydrogen production,"Gökçe, 2017",5,Rhodobacter capsulatus,,,,,,,,B2,157
17,,https://aem.asm.org/content/84/15/e00520-18.short,Experimental Evolution of Escherichia coli K-12 at High pH and with RpoS Induction,"Hamdallah, 2018",5,E. coli,haploid,4,2200,,,,,B2,175
3,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0140489,Acinetobacter baumannii Repeatedly Evolves a Hypermutator Phenotype in Response to Tigecycline That Effectively Surveys Evolutionary Trajectories to Resistance,"Hammerstrom, 2015",5,Acinetobacter baumannii,,,,,,,,B2,177
10,,https://www.pnas.org/content/115/47/12000.short,Evolution of bidirectional costly mutualism from byproduct consumption,"Harcombe, 2018",5,S. enterica,,,,,,,,B2,178
22,,https://mra.asm.org/content/5/23/e00493-17.short,Genome Sequences for Streptomyces spp. Isolated from Disease-Suppressive Soils and Long-Term Ecological Research Sites,"Heinsch, 2017",5,Streptomyces spp.,,,,,,,,B2,181
7,,https://mbio.asm.org/content/8/1/e02124-16.short,RelA Mutant Enterococcus faecium with Multiantibiotic Tolerance Arising in an Immunocompromised Host,"Honsa, 2017",5,Enterococcus faecium,,,,,,,,B2,189
5,,https://biotechnologyforbiofuels.biomedcentral.com/articles/10.1186/s13068-016-0497-y,Comprehensive molecular characterization of Methylobacterium extorquens AM1 adapted for 1-butanol tolerance,"Hu, 2016",5,Methylobacterium extorquens,,,,,,,,B2,192
9,,https://www.frontiersin.org/articles/10.3389/fcimb.2017.00045/full,Colistin Resistance in Acinetobacter baumannii MDR-ZJ06 Revealed by a Multiomics Approach,"Hua, 2017",5,Acinetobacter baumannii,,,,,,,,B2,196
8,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1006978&rev=2,Crosstalk between the tricarboxylic acid cycle and peptidoglycan synthesis in Caulobacter crescentus through the homeostatic control of α-ketoglutarate,"Irnov, 2017",5,Caulobacter crescentus,,,,,,,,B2,200
22,,https://www.biorxiv.org/content/10.1101/213850v3.abstract,A novel multi SNP based method for the identification of subspecies and associated lineages and sub-lineages of the Mycobacterium tuberculosis complex by whole genome sequencing,"Lipworth, 2018",5,Mycobacterium tuberculosis,,,,,,,,B2,201
12,,https://www.biorxiv.org/node/22859.abstract,Population diversity jeopardizes the efficacy of antibiotic cycling,"Jiao, 2016",5,S. aureus,,,,,,,,B2,210
17,,https://mra.asm.org/content/4/2/e00262-16.short,"Complete Genome Sequence of Bacillus subtilis Strain CU1050, Which Is Sensitive to Phage SPβ","Johnson, 2016",5,Bacillus subtilis,,,,,,,,B2,211
8,,http://www.g3journal.org/content/6/6/1535.abstract,Genomic Signatures of Experimental Adaptation to Antimicrobial Peptides in Staphylococcus aureus,"Johnston, 2016",5,Staphylococcus aureus,,,,,,,,B2,212
19,,https://uh-ir.tdl.org/handle/10657/3375,An exploration of fitness landscapes: theory and experiments,"Karkare, 2018",5,E. coli,,,,,,,,B2,218
19,,https://escholarship.org/uc/item/3395n1qh,Biogeography and the Adaptive Variation of Marine Bacteria in Response to Environmental Change,"Kent, 2017",5,Prochlorococcus,,,,,,,,B2,222
25,,https://www.nature.com/articles/s41564-018-0213-8,Increased biofilm formation due to high-temperature adaptation in marine Roseobacter,"Kent, 2018",5,Roseobacter,,,,,,,,B2,223
23,,https://onlinelibrary.wiley.com/doi/abs/10.1111/gtc.12640,Enhancement of K‐strategy evolution in histidine utilization using a container with compartments,"Komori, 2018",5,E. coli,,,,,,,,B2,235
6,,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.2002731,Spontaneous mutation rate is a plastic trait associated with population density across domains of life,"Krasovec, 2017",5,E. coli,haploid,2,,,"In the presence of increasing concentrations of the selective agent: WT P. aeruginosa spent media (12.5–35% (v/v)), 15 for the ΔpvdJ spent media (30–70% (v/v)), and 19 for pyocyanin (75–800 μM).",Table S3,,B2,237
23,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007615&rev=1,Synonymous mutations make dramatic contributions to fitness when growth is limited by a weak-link enzyme,"Kristofich, 2018",5,Salmonella enterica,,,,,,,,B2,238
1,,https://aem.asm.org/content/81/1/17/figures-only,Use of adaptive laboratory evolution to discover key mutations enabling rapid growth in Escherichia coli K-12 MG1655 on glucose minimal medium,"LaCroix, 2014",5,E. coli,haploid,8 + wildtype,Total number of doublings listed in table 1 for each population,7-21 mutations per experiment,"glucose minimal media at 37°C, in constant substrate excess","Transcriptomic analysis, mutations, growth rate, xsl ""LaCroix""attached below table.",,B2,246
7,,https://aem.asm.org/content/83/8/e03115-16.short,A Model for Designing Adaptive Laboratory Evolution Experiments,"LaCroix, 2017",5,-,,,,,,,,B2,247
13,,https://bmcmicrobiol.biomedcentral.com/articles/10.1186/s12866-018-1308-3,In vivo competition and horizontal gene transfer among distinct Staphylococcus aureus lineages as major drivers for adaptational changes during long-term persistence in humans,"Langhanki, 2018",5,Staphylococcus aureus,,,,,,,,B2,251
2,,https://mra.asm.org/content/2/4/e00821-14.short,"A Gapless, Unambiguous Genome Sequence of the Enterohemorrhagic Escherichia coli O157:H7 Strain EDL933","Latif, 2014",5,E. coli,haploid,,,,,,,B2,253
3,,https://academic.oup.com/nar/article/44/4/e36/1852008#81967376,Transient overexpression of DNA adenine methylase enables efficient and mobile genome engineering with reduced off-target effects,"Lennen, 2015",5,E. coli,haploid,2 (omitted the mutS- dataset),5 days,,M9 agar or M9 agar + 0.6 M NaCl.,File010 has breseq data.,"In MH's ""Papers-completed"", but not analyzed in ""Master_Data"". Omitted the mutS_pMA1 dataset (mutator).",B2,258
5,,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.13851,Using long‐term experimental evolution to uncover the patterns and determinants of molecular evolution of an Escherichia coli natural isolate in the streptomycin‐treated mouse gut,"Lescat, 2016",5,E. coli,,,,,,,"_ Alternate link: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5734618/
_ E. coli evolved in streptomycin-treated mouse guts.",B2,266
16,,https://bmcevolbiol.biomedcentral.com/articles/10.1186/s12862-017-0906-2,Metabolite toxicity determines the pace of molecular evolution within microbial populations,"Lilja, 2017",5,Pseudomonas stutzeri,,,,,,,,B2,274
23,,https://www.biorxiv.org/content/10.1101/327270v1.abstract,Model-driven design and evolution of non-trivial synthetic syntrophic pairs,"Lloyd, 2018",5,E. coli,haploid,Three OptAux predicted auxotrophic strains,,66,,no link to supplementary info.,,B2,279
7,,https://www.nature.com/articles/s41559-017-0243-2,Compensatory mutations improve general permissiveness to antibiotic resistance plasmids,"Loftie-Eaton, 2017",5,Pseudomonas sp. H2,,,,,,,,B2,280
17,,https://www.nature.com/articles/s41598-018-33593-7,Genomics of experimental adaptation of Staphylococcus aureus to a natural combination of insect antimicrobial peptides,"Makarova, 2018",5,Staphylococcus aureus,,,,,,,,B2,288
24,,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1851&context=thesis,Bacterial and phage interactions influencing Vibrio parahaemolyticus ecology,"Marcinkiewicz, 2016",5,Vibrio parahaemolyticus,,,,,,,,B2,289
22,,https://www.biorxiv.org/content/10.1101/222364v4.abstract,Bacterial adaptation to diet is a key evolutionary force shaping Drosophila-Lactobacillus symbiosis,"Martino, 2018",5,Lactobacillus,,,,,,,,B2,291
13,,https://www.nature.com/articles/ja2017108,Using experimental evolution to identify druggable targets that could inhibit the evolution of antimicrobial resistance,"Mehta, 2018",5,P. aeruginosa,,,,,,,,B2,298
24,,https://www.biorxiv.org/node/126991.abstract,The essential role of hypermutation in rapid adaptation to antibiotic stress,"Mehta, 2018",5,P. aeruginosa,,,,,,,< 3 reps.,B2,299
2,,https://www.sciencedirect.com/science/article/pii/S1074552114004529,"Structure, Bioactivity, and Resistance Mechanism of Streptomonomicin, an Unusual Lasso Peptide from an Understudied Halophilic Actinomycete","Metelev, 2015",5,Streptomonospora alba,,6,,,,,,B2,300
4,,http://science.sciencemag.org/content/354/6317/1301.abstract,Ecological speciation of bacteriophage lambda in allopatry and sympatry,"Meyer, 2016",5,E. coli & lambda phage,,,,,,,,B2,304
4,,https://cdn.elifesciences.org/articles/04279/elife-04279-v2.pdf,Effective use of a horizontally-transferred pathway for dicholormethane catabolism requires post-transfer refinement,"Michener, 2014",5,Methylobacterium,,,,,,,,B2,305
3,,https://www.nature.com/articles/s41559-016-0010,Multicopy plasmids potentiate the evolution of antibiotic resistance in bacteria,"Millan, 2016",5,E. coli,haploid,41 - 11 (founder MG) + 11 (MG_blaTEM-1) + 19 (MG_pBGT).,16 days,,"Test strains: LB with one quarter of the MIC of ceftazidime (CAZ) of each strain at 37 degree celcius. Control strains - same conditions, but w/o ceftazidime.",Supplementary Data 1 has mutation data.,"In MH's ""Papers-completed"", MH's folder has data file, but not analyzed in ""Master_Data"".",B2,306
5,,https://academic.oup.com/dnaresearch/article/21/6/711/2754555,Genomic Analysis Reveals Distinct Concentration-Dependent Evolutionary Trajectories for Antibiotic Resistance in Escherichia coli,"Mogre, 2014",5,E. coli,haploid,,,,,,,B2,310
5,,https://www.frontiersin.org/articles/10.3389/fmicb.2016.01715/full,The Effect of Colistin Resistance-Associated Mutations on the Fitness of Acinetobacter baumannii,"Mu, 2016",5,Acinetobacter baumannii,,,,,,,,B2,317
16,,https://academic.oup.com/jac/article-abstract/73/11/2952/5074234,Phylogenomics of colistin-susceptible and resistant XDR Acinetobacter baumannii,"Mustapha, 2018",5,Acinetobacter baumannii,,,,,,,,B2,321
6,,https://www.frontiersin.org/articles/10.3389/fgene.2015.00018/full,There and back again: consequences of biofilm specialization under selection for dispersal,"O'Rourke, 2015",5,Burkholderia cenocepacia,,,,,,,,B2,326
11,,https://www.nature.com/articles/s41598-017-12395-3#MOESM1,Efficient engineering of chromosomal ribosome binding site libraries in mismatch repair proficient Escherichia coli,"Oestrele, 2017",5,E. coli,haploid,2,,,,,,B2,329
4,,https://www.nature.com/articles/s41564-017-0051-0,DISARM is a widespread bacterial defence system with broad anti-phage activities,"Ofir, 2017",5,"B. licheniformis, B. subtilis",,,,,,,,B2,330
3,,https://genome.cshlp.org/content/early/2017/03/22/gr.213256.116.abstract,"Identical bacterial populations colonize premature infant gut, skin, and oral microbiomes and exhibit different in situ growth rates","Olm, 2017",5,Citrobacter koseri,,,,,,,,B2,331
9,,https://mbio.asm.org/content/8/1/e01969-16.short,The Source and Evolutionary History of a Microbial Contaminant Identified Through Soil Metagenomic Analysis,"Olm, 2017",5,Delftia acidovorans,,,,,,,,B2,332
14,,https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-017-0250-6,Neisseria lactamica Y92–1009 complete genome sequence,"Pandey, 2017",5,Neisseria lactamica,,,,,,,,B2,334
13,,https://cdn.elifesciences.org/articles/24414/elife-24414-v2.pdf,Host-selected mutations converging on a global regulator drive an adaptive leap towards symbiosis in bacteria,"Pankey, 2017",5,Vibrio fischeri,,,,,,,,B2,337
10,,https://www.nature.com/articles/s41467-017-02323-4,Sexual recombination and increased mutation rate expedite evolution of Escherichia coli in varied fitness landscapes,"Peabody, 2017",5,E. coli,haploid,"4, 2 sexual, 2 asexual",,,20 μl frozen stock on LB media,,,B2,342
5,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0130639,The Molecular and Genetic Basis of Repeatable Coevolution between Escherichia coli and Bacteriophage T3 in a Laboratory Microcosm,"Perry, 2015",5,E. coli,haploid,,,,,,,B2,344
14,,https://link.springer.com/article/10.1007/s40475-017-0111-9,"Genomic Insights Into the Melioidosis Pathogen, Burkholderia pseudomallei","Price, 2017",5,Burkholderia pseydomallei,,,,,,,,B2,353
1,,https://aem.asm.org/content/81/5/1775.short,Genetic Tools for the Industrially Promising Methanotroph Methylomicrobium buryatense,"Puri, 2014",5,M. buryatense,,,,,,,,B2,354
2,,https://cdn.elifesciences.org/articles/09696/elife-09696-v2.pdf,Fine-tuning citrate synthase flux potentiates and refines metabolic innovation in the Lenski evolution experiment,"Quandt, 2015",5,E. coli,,,,,,,,B2,358
24,,https://jb-asm-org.uml.idm.oclc.org/content/jb/197/7/1249.full.pdf,devl is an Evolutionarily Young Negative Regulator of Myxococcus xanthus Development,"Rajagopalan, 2015",5,Myxococcus xanthus,,,,,,,,B2,364
9,,https://onlinelibrary.wiley.com/doi/full/10.1111/eva.12397,Macrophage adaptation leads to parallel evolution of genetically diverse Escherichia coli small‐colony variants with increased fitness in vivo and antibiotic collateral sensitivity,"Ramiro, 2016",5,E. coli,haploid,"6 independent populations, 12 clones sequenced (2 clones/population)",60-120 (used (60+120)/2 = 90 generations in analysis).,,10 ml RPMI at 37°C with 5% CO2. Presence of macrophages.,,"Data already in paper - extract that to ""original"". Different time points between populations (4, 5, & 8). Paper says 19 mutations, Table 1 counted 21 - potential Paper Error?",B2,365
5,,https://www.nature.com/articles/ismej201683,Evidence for persistent and shared bacterial strains against a background of largely unique gut colonization in hospitalized premature infants,"Raveh-Sadka, 2016",5,E. coli,,,,,,,,B2,370
10,,https://peerj.com/articles/2130/,The in vitro and in vivo effects of constitutive light expression on a bioluminescent strain of the mouse enteropathogen Citrobacter rodentium,"Read, 2016",5,Citrobacter rodentium,,,,,,,,B2,371
23,,https://researchspace.auckland.ac.nz/handle/2292/31662,Watching Bacteria Adapt: Investigating How Pathogens Evolve to Cause Disease,"Read, 2016",5,Citrobacter rodentium,,,,,,,,B2,372
4,,https://jb.asm.org/content/197/5/872.short,Genome Instability Mediates the Loss of Key Traits by Acinetobacter baylyi ADP1 during Laboratory Evolution,"Renda, 2014",5,Acinetobacter baylyi,,,,,,,,B2,374
9,,https://jb.asm.org/content/198/23/3209.abstract,Emergence of a Competence-Reducing Filamentous Phage from the Genome of Acinetobacter baylyi ADP1,"Renda, 2016",5,Acinetobacter baylyi,,,,,,,,B2,375
22,,https://repositories.lib.utexas.edu/handle/2152/68558,Laboratory evolution and natural transformation in Acinetobacter baylyi ADP1,"Renda, 2016",5,Acinetobacter baylyi,,,,,,,,B2,376
2,,https://www.pnas.org/content/112/29/9076,Rapid and widespread de novo evolution of kin discrimination,"Rendueles, 2015",5,Myxococcus xanthus,,,,,,,,B2,377
18,,https://core.ac.uk/download/pdf/154333112.pdf,Engineering of secondary metabolite production in streptomycetes,"Robertsen, 2017",5,Streptomycetes,,,,,,,,B2,382
15,,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-018-4498-z,Large-scale genomic analysis shows association between homoplastic genetic variation in Mycobacterium tuberculosis genes and meningeal or pulmonary tuberculosis,"Ruesen, 2018",5,Mycobacterium tuberculosis,,,,,,,,B2,387
3,,https://academic.oup.com/mbe/article/32/10/2681/1210991,Fitness Trade-Offs Determine the Role of the Molecular Chaperonin GroEL in Buffering Mutations,"Sabater-Munoz, 2015",5,E. coli,haploid,Bottlenecked - 30 replicate lines evolved in L-arabinose and 4 replicate lines in its absence. Control - evolved 8 replicate lines: 4 in the presence of L-arabinose and 4 in its absence. 5 populations also in same manner as serial passage in presence of inducer. Serial passage - 5/10 populations in presence of inducer and 5/10 in its absence.,,,,Tables S1-4.,"_ Mutator strain.
_ 191108: Screened.",B2,388
